StartNodes: 1000, growth:100000, Search: MCTS
Size 1001000:,1001000,0.180406,0.180333,0.177472,0.180332,0.17815,0.180221,0.180246,0.179483,0.179277,0.183226,0.180698,0.181162,0.188197,0.192425,0.191462,0.180141,0.182972,0.187653,0.180757,0.183687,0.192984,0.192536,0.192388,0.184136,0.185032,0.189903,0.191687,0.1926,0.192077,0.194162,0.189983,0.193239,0.191766,0.194699,0.194949,0.194639,0.182592,0.19812,0.194894,0.182798,0.191961,0.191409,0.189884,0.193787,0.194369,0.194746,0.196913,0.197294,0.194783,0.194292,0.212489,0.192132,0.190398,0.1731,0.186549,0.192699,0.193054,0.187802,0.177693,0.198379,0.187399,0.192844,0.197509,0.188407,0.21111,0.195237,0.201229,0.193481,0.191988,0.182276,0.186286,0.191062,0.199302,0.193707,0.191416,0.186516,0.191865,0.189137,0.180875,0.188886,0.19377,0.196623,0.196872,0.190996,0.196063,0.194181,0.193188,0.191599,0.190502,0.191521,0.192158,0.219021,0.19819,0.208314,0.191793,0.2549,0.221966,0.216645,0.196908,0.29458,
Size 1101000:,1101000,0.311559,0.244367,0.224552,0.220256,0.192189,0.206826,0.204586,0.193652,0.198801,0.216878,0.203523,0.210938,0.203261,0.209431,0.213534,0.213771,0.216757,0.2176,0.216266,0.229229,0.211428,0.219964,0.218995,0.216997,0.221908,0.222833,0.222866,0.220004,0.220137,0.218686,0.214169,0.214251,0.215136,0.216943,0.216293,0.222498,0.224538,0.224907,0.227605,0.225989,0.227818,0.215857,0.219098,0.213053,0.211318,0.214493,0.230386,0.216846,0.215396,0.197702,0.201973,0.211396,0.205388,0.206911,0.202752,0.207868,0.202722,0.206264,0.227491,0.201859,0.206715,0.206549,0.2029,0.208359,0.203851,0.206992,0.215504,0.211947,0.199829,0.201519,0.200134,0.209524,0.211138,0.206676,0.237432,0.213332,0.214763,0.21385,0.2102,0.207882,0.211845,0.206678,0.206532,0.203257,0.209519,0.205416,0.204016,0.208239,0.202531,0.205738,0.201349,0.201919,0.208795,0.20054,0.204224,0.201311,0.208685,0.201433,0.20066,0.201317,
Size 1201000:,1201000,0.228135,0.234152,0.23598,0.233168,0.229881,0.224345,0.229479,0.22478,0.225615,0.225478,0.220796,0.230198,0.222788,0.221769,0.222637,0.225269,0.225363,0.220333,0.221119,0.227387,0.234885,0.239578,0.238809,0.23457,0.227991,0.235574,0.220603,0.216898,0.22657,0.224803,0.22571,0.224722,0.220341,0.221477,0.223342,0.220805,0.22066,0.222418,0.21939,0.218907,0.217937,0.222798,0.223639,0.224385,0.228,0.21923,0.226063,0.234423,0.235758,0.225347,0.225492,0.221086,0.220309,0.226712,0.222799,0.231788,0.2328,0.234814,0.23466,0.236133,0.249645,0.235734,0.23848,0.214579,0.22245,0.226016,0.22481,0.222527,0.223652,0.221063,0.222068,0.225986,0.231675,0.231499,0.228247,0.223466,0.2285,0.236702,0.222697,0.233735,0.220613,0.228023,0.227211,0.233734,0.234831,0.230828,0.242796,0.242449,0.230804,0.24314,0.23721,0.226933,0.218842,0.207255,0.219198,0.227421,0.226975,0.226372,0.220504,0.231106,
Size 1301000:,1301000,0.251006,0.256629,0.257541,0.242668,0.259073,0.252864,0.249551,0.250734,0.245574,0.253975,0.247105,0.257757,0.259124,0.26239,0.255702,0.25702,0.245869,0.244882,0.238456,0.240787,0.251234,0.248903,0.257917,0.255235,0.248212,0.250513,0.24847,0.250797,0.245866,0.250426,0.245934,0.247534,0.245105,0.251183,0.245368,0.253855,0.255722,0.257425,0.248258,0.255349,0.258869,0.250533,0.239076,0.247417,0.239465,0.244626,0.240869,0.24092,0.238955,0.240594,0.239622,0.256589,0.253204,0.253862,0.241592,0.252067,0.242128,0.251883,0.23834,0.250482,0.243343,0.253274,0.245606,0.249471,0.240732,0.238558,0.241375,0.238407,0.239541,0.23781,0.240103,0.237868,0.256445,0.236893,0.238667,0.240224,0.238835,0.239915,0.245665,0.242032,0.254272,0.257481,0.254584,0.252209,0.254096,0.258806,0.250459,0.260329,0.25071,0.241396,0.249586,0.243799,0.256334,0.243873,0.243251,0.243757,0.240458,0.2407,0.244308,0.238863,
Size 1401000:,1401000,0.262666,0.259259,0.265457,0.278331,0.275882,0.268318,0.251917,0.275696,0.274582,0.277947,0.27623,0.267542,0.276373,0.266439,0.269888,0.275081,0.262988,0.259262,0.259411,0.261237,0.261444,0.276578,0.272484,0.272343,0.27372,0.27286,0.280593,0.267378,0.276364,0.264262,0.268875,0.261063,0.267631,0.260019,0.265654,0.276074,0.271826,0.280159,0.280862,0.280084,0.278297,0.275603,0.276647,0.277151,0.279579,0.278225,0.278244,0.276867,0.27777,0.277805,0.272729,0.268661,0.260937,0.263279,0.261814,0.263225,0.260269,0.272666,0.259068,0.264076,0.259941,0.271805,0.275309,0.292021,0.282428,0.276015,0.277049,0.275765,0.276931,0.276758,0.291312,0.289862,0.281863,0.279126,0.279039,0.281287,0.263338,0.268065,0.271027,0.271119,0.262394,0.269989,0.27505,0.274301,0.271742,0.270226,0.271727,0.299755,0.322041,0.316742,0.28016,0.269639,0.283216,0.26867,0.277007,0.270455,0.248829,0.28237,0.292513,0.253761,
Size 1501000:,1501000,0.288301,0.273336,0.275181,0.272449,0.274018,0.274486,0.273835,0.274137,0.270257,0.2957,0.27835,0.277516,0.290697,0.303729,0.306422,0.284221,0.274855,0.260608,0.276316,0.346698,0.274524,0.289836,0.431402,0.356925,0.388942,0.288257,0.430537,0.352699,0.281675,0.286097,0.276826,0.291051,0.288691,0.283418,0.275458,0.290428,0.293275,0.326893,0.286399,0.277874,0.276446,0.282728,0.288272,0.30193,0.318659,0.290401,0.276472,0.276478,0.286929,0.288256,0.27483,0.285829,0.29385,0.299297,0.293872,0.281532,0.315658,0.291571,0.27782,0.338105,0.282008,0.287451,0.448828,0.300547,0.319436,0.270761,0.291605,0.372793,0.282624,0.272449,0.274951,0.296226,0.285602,0.26964,0.272076,0.264176,0.272214,0.272174,0.273677,0.272834,0.267162,0.263044,0.270822,0.274452,0.266905,0.270852,0.269595,0.266837,0.268203,0.267721,0.267123,0.269057,0.26646,0.262452,0.255084,0.268073,0.269599,0.269153,0.268348,0.267593,
Size 1601000:,1601000,0.323575,0.299169,0.283132,0.287561,0.28581,0.284624,0.283873,0.277409,0.282465,0.28296,0.285922,0.275343,0.28051,0.27633,0.280066,0.287885,0.287933,0.28597,0.274279,0.285762,0.286754,0.280525,0.289397,0.290143,0.280943,0.27321,0.282132,0.280468,0.285288,0.277981,0.276385,0.277295,0.277256,0.283843,0.29933,0.302215,0.287741,0.295842,0.299399,0.312589,0.295754,0.302269,0.297023,0.295673,0.293563,0.332167,0.291169,0.318693,0.321724,0.296354,0.293391,0.299686,0.312696,0.292687,0.307688,0.314833,0.313351,0.308176,0.316474,0.317725,0.317559,0.296474,0.316713,0.320167,0.32358,0.324237,0.317052,0.316829,0.311513,0.297871,0.30403,0.326683,0.294452,0.293544,0.304479,0.309368,0.299866,0.291164,0.298352,0.301909,0.129474,0.133104,0.129698,0.133558,0.134833,0.130725,0.129716,0.129275,0.127975,0.128145,0.128519,0.129358,0.128326,0.128672,0.128652,0.129075,0.127943,0.12857,0.128392,0.129788,
Size 1701000:,1701000,0.136514,0.136564,0.13654,0.135735,0.135549,0.136985,0.137204,0.135308,0.136615,0.135246,0.136108,0.13522,0.136373,0.136678,0.137354,0.136203,0.137482,0.136379,0.135498,0.13811,0.134935,0.134654,0.135977,0.135814,0.135648,0.13532,0.135884,0.136462,0.137683,0.136287,0.136613,0.135939,0.136467,0.135005,0.136386,0.13471,0.134534,0.135968,0.135652,0.137703,0.135546,0.136527,0.136026,0.13717,0.135345,0.163321,0.136123,0.134985,0.13595,0.13572,0.13701,0.135653,0.136617,0.135448,0.135093,0.135782,0.13638,0.136288,0.134721,0.136559,0.137195,0.137474,0.137073,0.136944,0.136401,0.136485,0.135936,0.137052,0.136224,0.136403,0.136433,0.138158,0.13772,0.135791,0.136068,0.135594,0.135516,0.134843,0.136592,0.135635,0.135614,0.136312,0.136587,0.137106,0.137534,0.136733,0.136083,0.13785,0.136081,0.136413,0.136562,0.136208,0.140505,0.137461,0.146976,0.135731,0.136273,0.136068,0.135432,0.135929,
Size 1801000:,1801000,0.144987,0.147192,0.143803,0.143977,0.14388,0.144282,0.144345,0.144772,0.144798,0.144688,0.1452,0.14494,0.144256,0.14493,0.144159,0.145278,0.144565,0.144851,0.145157,0.14379,0.143939,0.144457,0.144175,0.148024,0.145021,0.144764,0.143569,0.144241,0.143929,0.144156,0.14382,0.14432,0.144972,0.144274,0.144219,0.143938,0.144065,0.143958,0.145796,0.146174,0.145468,0.144946,0.144349,0.144799,0.144383,0.14508,0.145431,0.145388,0.144372,0.144855,0.144175,0.145253,0.144565,0.146527,0.14393,0.145475,0.175682,0.143691,0.144608,0.144488,0.144532,0.144315,0.144592,0.145246,0.143982,0.144229,0.144933,0.14561,0.143932,0.143939,0.147221,0.146904,0.145388,0.144385,0.144463,0.144424,0.144318,0.144594,0.14384,0.145422,0.145485,0.144393,0.144396,0.144698,0.145975,0.144384,0.145172,0.145926,0.144526,0.144163,0.144846,0.147458,0.14831,0.14545,0.146284,0.144701,0.14443,0.144208,0.14391,0.145103,
Size 1901000:,1901000,0.153521,0.152023,0.152192,0.153128,0.154031,0.15315,0.152677,0.153809,0.153395,0.153048,0.153712,0.152239,0.152435,0.152129,0.152271,0.152529,0.15273,0.152996,0.153356,0.153613,0.154536,0.153468,0.154947,0.154777,0.153531,0.153539,0.153125,0.154301,0.153449,0.154219,0.153727,0.153861,0.153149,0.155543,0.153583,0.154711,0.154478,0.154076,0.154534,0.153525,0.152954,0.155943,0.181416,0.154242,0.153966,0.152863,0.156027,0.153884,0.154796,0.154946,0.152584,0.153937,0.152002,0.156509,0.152245,0.153371,0.15504,0.153077,0.152954,0.154261,0.184336,0.152537,0.153853,0.152798,0.155274,0.155987,0.15344,0.153181,0.153441,0.154286,0.1533,0.152947,0.154348,0.153033,0.152926,0.153865,0.152737,0.153392,0.152776,0.152079,0.15355,0.152349,0.15204,0.152272,0.153612,0.155503,0.153221,0.153888,0.154417,0.15296,0.154588,0.152062,0.152882,0.154771,0.158961,0.152946,0.152819,0.152037,0.156825,0.153031,
